"№","Код","name","size","palletSize","weight","opt","price"
"240","Ц-00087","Крышка столба 40х40 Белый","Поддон 120*80","20","19","307.98","354"
"241","Ц-00085","Крышка столба 40х40 коричневый № 655","Поддон 120*80","20","19","243.6","280"
"242","Ц-00080","Крышка столба 40х40 красн № 130","Поддон 120*80","20","19","243.6","280"
"243","Ц-00083","Крышка столба 40х40 оливковый № 420","Поддон 120*80","20","19","243.6","280"
"244","Ц-00081","Крышка столба 40х40 терракот № 503","Поддон 120*80","20","19","243.6","280"
"245","Ц-00082","Крышка столба 40х40 черный № 330","Поддон 120*80","20","19","243.6","280"
"246","З-00175","Крышка столба 40х40 Элит (0,7%-960, 0,3%-420)","Поддон 120*80","20","19","357.57","411"
"247","З-00786","Крышка столба 40х40 Элит (0.8%-420)","Поддон 120*80","20","19","357.57","411"
"248","З-00146","Крышка столба 40х40 Элит (1%-420, 0,3%-960)","Поддон 120*80","20","19","357.57","411"
"249","З-00418","Крышка столба 40х40 элит (2% - 420)","Поддон 120*80","20","19","357.57","411"
"250","З-00157","Крышка столба 40х40 Элит (2% -503)","Поддон 120*80","20","19","357.57","411"
"251","З-00718","Крышка столба 40х40 Элит (2%-130)","Поддон 120*80","20","19","357.57","411"
"252","З-00746","Крышка столба 40х40 Элит (2%-960)","Поддон 120*80","20","19","357.57","411"
"","","Крышка столба 40х40 колотая","","","","",""
"253","О-00083","_Крышка столба 40х40 колотая серый","Поддон 120*80","42","21.75","294.06","338"
"254","О-00084","Крышка столба 40х40 колотая бежевый № 960","Поддон 120*80","42","21.75","338.43","389"
"255","О-00090","Крышка столба 40х40 колотая Белый","Поддон 120*80","42","21.75","426.3","490"
"256","О-00086","Крышка столба 40х40 колотая коричневый № 655","Поддон 120*80","42","21.75","338.43","389"
"257","О-00087","Крышка столба 40х40 колотая красн № 130","Поддон 120*80","42","21.75","338.43","389"
"258","О-00085","Крышка столба 40х40 колотая оливковый № 420","Поддон 120*80","42","21.75","338.43","389"
"259","О-00088","Крышка столба 40х40 колотая терракот № 503","Поддон 120*80","42","21.75","338.43","389"
"260","О-00089","Крышка столба 40х40 колотая черный № 330","Поддон 120*80","42","21.75","338.43","389"
"261","З-00916","Крышка столба 40х40 колотая элит (1%-420, 0,3%-960)","Поддон 120*80","42","21.75","473.28","544"
"262","З-00742","Крышка столба 40х40 колотая элит (2% - 420)","Поддон 120*80","42","21.75","473.28","544"
"263","З-00660","Крышка столба 40х40 колотая Элит (2% - 503)","Поддон 120*80","42","21.75","473.28","544"
"","","Крышка столба 40х40х6 плоская","","","","",""
"264","З-00932","Крышка столба 40х40х6 плоская серый","Поддон 120*80","20","19","208.8","240"
"265","З-00933","Крышка столба 40х40х6 плоская бежевый № 960","Поддон 120*80","20","19","243.6","280"
"266","З-00934","Крышка столба 40х40х6 плоская Белый","Поддон 120*80","20","19","307.98","354"
"267","З-00987","Крышка столба 40х40х6 плоская коричневый № 655","Поддон 120*80","20","19","243.6","280"
"268","З-00954","Крышка столба 40х40х6 плоская терракота 503","Поддон 120*80","20","19","243.6","280"
"269","З-01147","Крышка столба 40х40х6 плоская Элит (0,8%-420)","Поддон 120*80","20","19","357.57","411"
"270","З-00950","Крышка столба 40х40х6 плоская Элит (1%-420, 0,3%-960)","Поддон 120*80","20","19","357.57","411"
"271","З-00935","Крышка столба 40х40х6 плоская элит (2% - 503)","Поддон 120*80","20","19","357.57","411"
"","","Крышка столба 50х50","","","","",""
"272","Ц-00068","_Крышка столба 50х50 серый","Поддон 120*80","10","33.8","258.39","297"
"273","Ц-00073","Крышка столба 50х50 бежевый № 960","Поддон 120*80","10","33.8","318.42","366"
"274","Ц-00076","Крышка столба 50х50 Белый","Поддон 120*80","10","33.8","411.51","473"
"275","Ц-00074","Крышка столба 50х50 коричневый № 655","Поддон 120*80","10","33.8","318.42","366"
"276","Ц-00069","Крышка столба 50х50 красн № 130","Поддон 120*80","10","33.8","318.42","366"
"277","Ц-00072","Крышка столба 50х50 оливковый № 420","Поддон 120*80","10","33.8","318.42","366"
"278","Ц-00070","Крышка столба 50х50 терракот № 503","Поддон 120*80","10","33.8","318.42","366"
"279","Ц-00071","Крышка столба 50х50 черный № 330","Поддон 120*80","10","33.8","318.42","366"
"280","З-00462","Крышка столба 50х50 элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","10","33.8","420.21","483"
"281","З-00457","Крышка столба 50х50 элит (1%-420, 0,3%-960)","Поддон 120*80","10","33.8","420.21","483"
"282","З-00740","Крышка столба 50х50 элит (2% - 420)","Поддон 120*80","10","33.8","420.21","483"
"283","З-00381","Крышка столба 50х50 элит (2% - 503)","Поддон 120*80","10","33.8","420.21","483"
"","","Крышка столба 50х50х6  фигурная","","","","",""
"284","З-01026","Крышка столба 50х50х6  фигурная серый","Поддон 120*80","20","22","258.39","297"
"285","З-01114","Крышка столба 50х6х50  фигурная Белый","Поддон 120*80","20","22","411.51","473"
"286","З-01113","Крышка столба 50х6х50  фигурная коричневый № 655","Поддон 120*80","20","22","318.42","366"
"287","З-01143","Крышка столба 50х6х50  фигурная красный № 130","Поддон 120*80","20","22","318.42","366"
"288","З-01144","Крышка столба 50х6х50  фигурная черный № 330","Поддон 120*80","20","22","318.42","366"
"289","З-01115","Крышка столба 50х6х50  фигурная элит (2% - 503)","Поддон 120*80","20","22","420.21","483"
"","","Крышка фигурная 50х60х6","","","","",""
"290","З-00980","_Крышка фигурная 50х60х6 серый","Поддон 120*80","32","28","396.72","456"
"291","З-00982","Крышка фигурная 50х60х6 Белый","Поддон 120*80","32","28","502.86","578"
"292","З-00981","Крышка фигурная 50х60х6 коричневый № 655","Поддон 120*80","32","28","433.26","498"
"293","З-00983","Крышка фигурная 50х60х6 элит (2% - 503)","Поддон 120*80","32","28","544.62","626"
"","","Крышка фигурная 55х40х6","","","","",""
"294","З-00441","Крышка фигурная 55х40х6 серый","Поддон 120*80","32","28.2","243.6","280"
"295","З-00450","Крышка фигурная 55х40х6 бежевый № 960","Поддон 120*80","32","28.2","279.27","321"
"296","З-00440","Крышка фигурная 55х40х6 Белый","Поддон 120*80","32","28.2","368.01","423"
"297","З-00448","Крышка фигурная 55х40х6 коричневый № 655","Поддон 120*80","32","28.2","279.27","321"
"298","З-00447","Крышка фигурная 55х40х6 оливковый 420","Поддон 120*80","32","28.2","279.27","321"
"299","З-00445","Крышка фигурная 55х40х6 терракота 503","Поддон 120*80","32","28.2","279.27","321"
"300","З-00446","Крышка фигурная 55х40х6 Элит (1%-420, 0,3%-960)","Поддон 120*80","32","28.2","403.68","464"
"301","З-00906","Крышка фигурная 55х40х6 Элит (2% - 420)","Поддон 120*80","32","28.2","403.68","464"
"302","З-01076","Крышка фигурная 55х40х6 Элит (2% - 503)","Поддон 120*80","32","28.2","403.68","464"
"","","Крышка-ступень 50х30х5 колотая","","","","",""
"303","П-00040","Крышка-ступень 50х30х5 колотая серый","Поддон 120*80","42","15.8","212.28","244"
"304","П-00045","Крышка-ступень 50х30х5 колотая бежевый № 960","Поддон 120*80","42","15.8","238.38","274"
"305","П-00046","Крышка-ступень 50х30х5 колотая Белый","Поддон 120*80","42","15.8","304.5","350"
"306","П-00043","Крышка-ступень 50х30х5 колотая коричневый № 655","Поддон 120*80","42","15.8","238.38","274"
"307","П-00044","Крышка-ступень 50х30х5 колотая красн № 130","Поддон 120*80","42","15.8","238.38","274"
"308","П-00042","Крышка-ступень 50х30х5 колотая оливковый 420","Поддон 120*80","42","15.8","238.38","274"
"309","П-00039","Крышка-ступень 50х30х5 колотая терракота 503","Поддон 120*80","42","15.8","238.38","274"
"310","П-00041","Крышка-ступень 50х30х5 колотая черный № 330","Поддон 120*80","42","15.8","238.38","274"
"311","П-00048","Крышка-ступень 50х30х5 колотая Элит (1%-420, 0,3%-960)","Поддон 120*80","42","15.8","333.21","383"
"312","З-00671","Крышка-ступень 50х30х5 колотая Элит (2% - 420)","Поддон 120*80","42","15.8","333.21","383"
"313","З-00178","Крышка-ступень 50х30х5 колотая Элит (2% - 503)","Поддон 120*80","42","15.8","333.21","383"
"","","Крышка-ступень 50х30х7","","","","",""
"314","О-00142","Крышка-ступень 50х30х7 серый","Поддон 120*80","42","23","250.56","288"
"315","З-00038","Крышка-ступень 50х30х7 бежевый № 960","Поддон 120*80","42","23","386.23","329"
"316","Д-00025","Крышка-ступень 50х30х7 Белый","Поддон 120*80","42","23","346.26","398"
"317","П-00032","Крышка-ступень 50х30х7 коричневый № 655","Поддон 120*80","42","23","286.23","329"
"318","З-00042","Крышка-ступень 50х30х7 красн № 130","Поддон 120*80","42","23","286.23","329"
"319","О-00143","Крышка-ступень 50х30х7 оливковый 420","Поддон 120*80","42","23","286.23","329"
"320","З-00035","Крышка-ступень 50х30х7 терракота 503","Поддон 120*80","42","23","286.23","329"
"321","З-00783","Крышка-ступень 50х30х7 черный № 330","Поддон 120*80","42","23","286.23","329"
"322","З-00415","Крышка-ступень 50х30х7 Элит (1%-420, 0,3%-960)","Поддон 120*80","42","23","380.19","437"
"323","П-00073","Крышка-ступень 50х30х7 Элит (2% - 503)","Поддон 120*80","42","23","380.19","437"
"","","Крышка-ступень 50х30х7 колотая","","","","",""
"324","О-00022","Крышка-ступень 50х30х7 колотая серый","Поддон 120*80","42","23","250.56","291"
"325","О-00023","Крышка-ступень 50х30х7 колотая бежевый № 960","Поддон 120*80","42","23","289.71","333"
"326","О-00131","Крышка-ступень 50х30х7 колотая Белый","Поддон 120*80","42","23","351.48","404"
"327","О-00025","Крышка-ступень 50х30х7 колотая коричневый № 655","Поддон 120*80","42","23","289.71","333"
"328","О-00026","Крышка-ступень 50х30х7 колотая красн № 130","Поддон 120*80","42","23","289.71","333"
"329","О-00024","Крышка-ступень 50х30х7 колотая оливковый 420","Поддон 120*80","42","23","289.71","333"
"330","О-00027","Крышка-ступень 50х30х7 колотая терракота 503","Поддон 120*80","42","23","289.71","333"
"331","О-00028","Крышка-ступень 50х30х7 колотая черный № 330","Поддон 120*80","42","23","289.71","333"
"332","З-00473","Крышка-ступень 50х30х7 колотая Элит (1%-420, 0,3%-960)","Поддон 120*80","42","23","403.68","443"
"333","З-00683","Крышка-ступень 50х30х7 колотая Элит (2% - 420)","Поддон 120*80","42","23","385.41","443"
"334","З-00437","Крышка-ступень 50х30х7 колотая Элит (2%-960)","Поддон 120*80","42","23","385.41","443"
"","","Наличник декоративный  ""Цветок"" 50х15х6","","","","",""
"335","З-00943","Наличник декоративный  ""Цветок"" 50х15х6 серый","Поддон 120*80","88","4.38","217.5","250"
"336","З-00945","Наличник декоративный  ""Цветок"" 50х15х6 бежевый № 960","Поддон 120*80","88","4.38","250.56","288"
"337","З-00944","Наличник декоративный  ""Цветок"" 50х15х6 Белый","Поддон 120*80","88","4.38","303.63","349"
"338","З-01138","Наличник декоративный  ""Цветок"" 50х15х6 Элит (1%-420, 0,3%-960)","Поддон 120*80","88","4.38","349.74","402"
"339","З-00946","Наличник декоративный  ""Цветок"" 50х15х6 Элит (2% - 420)","Поддон 120*80","88","4.38","349.74","402"
"","","Наличник декоративный  50х8х5","","","","",""
"340","Ц-00140","_Наличник декоративный 50х8х5 серый","Поддон 120*80","88","4.38","107.01","123"
"341","Ц-00145","Наличник декоративный 50х8х5 бежевый № 960","Поддон 120*80","88","4.38","113.1","130"
"342","Ц-00148","Наличник декоративный 50х8х5 Белый","Поддон 120*80","88","4.38","148.77","171"
"343","Ц-00146","Наличник декоративный 50х8х5 коричневый № 655","Поддон 120*80","88","4.38","113.1","130"
"344","Ц-00141","Наличник декоративный 50х8х5 красн № 130","Поддон 120*80","88","4.38","113.1","130"
"345","Ц-00144","Наличник декоративный 50х8х5 оливковый № 420","Поддон 120*80","88","4.38","113.1","130"
"346","Ц-00142","Наличник декоративный 50х8х5 терракот № 503","Поддон 120*80","88","4.38","113.1","130"
"347","Ц-00143","Наличник декоративный 50х8х5 черный № 330","Поддон 120*80","88","4.38","113.1","130"
"348","З-01139","Наличник декоративный 50х8х5 Элит (1%-420, 0,3%-960)","Поддон 120*80","88","4.38","169.65","195"
"349","З-00929","Наличник декоративный 50х8х5 элит (2% - 420)","Поддон 120*80","88","4.38","169.65","195"
"","","Наличник декоративный  каскадный 50х15х6","","","","",""
"350","З-01079","Наличник декоративный  каскадный 50х15х6 серый","Поддон 120*80","88","4.38","217.5","250"
"351","З-01081","Наличник декоративный  каскадный 50х15х6 Белый","Поддон 120*80","88","4.38","303.63","349"
"352","З-01080","Наличник декоративный  каскадный 50х15х6 терракота 503","Поддон 120*80","88","4.38","250.56","288"
"353","З-01140","Наличник декоративный  каскадный 50х15х6 Элит (1%-420, 0,3%-960)","Поддон 120*80","88","4.38","349.74","402"
"354","З-01082","Наличник декоративный  каскадный 50х15х6 элит (2% - 503)","Поддон 120*80","88","4.38","349.74","402"
"","","Наличник декоративный  фигурный 50х11х4,2","","","","",""
"355","З-01084","Наличник декоративный   фигурный 50х11х4,2 серый","Поддон 120*80","88","4.3","217.5","250"
"356","З-01086","Наличник декоративный   фигурный 50х11х4,2 Белый","Поддон 120*80","88","4.3","303.63","349"
"357","З-01085","Наличник декоративный   фигурный 50х11х4,2 красн № 130","Поддон 120*80","88","4.3","250.56","288"
"358","З-01141","Наличник декоративный   фигурный 50х11х4,2 Элит (1%-420, 0,3%-960)","Поддон 120*80","88","4.3","349.74","402"
"359","З-01087","Наличник декоративный   фигурный 50х11х4,2 Элит (2% - 420)","Поддон 120*80","88","4.3","349.74","402"
"","","Основание столба 40х40","","","","",""
"360","Ц-00089","_Основание столба 40х40 серый","Поддон 120*80","36","19","200.97","231"
"361","Ц-00094","Основание столба 40х40 бежевый № 960","Поддон 120*80","36","19","231.42","266"
"362","Ц-00097","Основание столба 40х40 Белый","Поддон 120*80","36","19","301.89","347"
"363","Ц-00095","Основание столба 40х40 коричневый № 655","Поддон 120*80","36","19","231.42","266"
"364","Ц-00090","Основание столба 40х40 красн № 130","Поддон 120*80","36","19","231.42","266"
"365","Ц-00093","Основание столба 40х40 оливковый № 420","Поддон 120*80","36","19","231.42","266"
"366","Ц-00091","Основание столба 40х40 терракот № 503 !!!","Поддон 120*80","36","19","231.42","266"
"367","Ц-00092","Основание столба 40х40 черный № 330","Поддон 120*80","36","19","231.42","266"
"368","З-00322","Основание столба 40х40 элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","36","19","341.91","393"
"369","З-00787","Основание столба 40х40 Элит (0.8%-420)","Поддон 120*80","36","19","341.91","393"
"370","З-00179","Основание столба 40х40 Элит (1%-420, 0,3%-960)","Поддон 120*80","36","19","341.91","393"
"371","З-00435","Основание столба 40х40 элит (2% - 420)","Поддон 120*80","36","19","341.91","393"
"372","З-00158","Основание столба 40х40 Элит (2% - 503)","Поддон 120*80","36","19","341.91","393"
"373","З-00721","Основание столба 40х40 Элит (2%-130)","Поддон 120*80","36","19","341.91","393"
"374","З-00747","Основание столба 40х40 Элит (2%-960)","Поддон 120*80","36","19","341.91","393"
"","","Основание столба круглое","","","","",""
"375","З-00761","_Основание столба круглое серый","Поддон 120*80","36","19","200.97","231"
"376","З-00797","Основание столба 40х40 коричневый № 655","Поддон 120*80","36","19","231.42","266"
"","","Отлив 40х17х4","","","","",""
"377","О-00039","Отлив 40х17х4 серый","Поддон 120*80","98","4.25","68.73","79"
"378","О-00144","Отлив 40х17х4 бежевый № 960","Поддон 120*80","98","4.25","90.48","104"
"379","П-00066","Отлив 40х17х4 Белый","Поддон 120*80","98","4.25","116.58","134"
"380","З-00412","Отлив 40х17х4 коричневый № 655","Поддон 120*80","98","4.25","90.48","104"
"381","П-00069","Отлив 40х17х4 красн № 130","Поддон 120*80","98","4.25","90.48","104"
"382","П-00004","Отлив 40х17х4 оливковый 420","Поддон 120*80","98","4.25","90.48","104"
"383","О-00040","Отлив 40х17х4 терракота 503","Поддон 120*80","98","4.25","90.48","104"
"384","П-00070","Отлив 40х17х4 черный № 330","Поддон 120*80","98","4.25","90.48","104"
"385","П-00067","Отлив 40х17х4 Элит (1%-420, 0,3%-960)","Поддон 120*80","98","4.25","123.54","142"
"386","З-00920","Отлив 40х17х4 Элит (2% - 420)","Поддон 120*80","98","4.25","123.54","142"
"387","З-00919","Отлив 40х17х4 Элит (2% - 503)","Поддон 120*80","98","4.25","123.54","142"
"388","З-00794","Отлив 40х17х4 Элит (2%-130)","Поддон 120*80","98","4.25","123.54","142"
"","","Отлив 50х30х7","","","","",""
"389","Ц-00239","Отлив 50х30х7 серый","Поддон 120*80"," ","17","137.46","158"
"390","З-00041","Отлив 50х30х7 бежевый № 960","Поддон 120*80"," ","17","157.47","181"
"","","Подступенок 50х16х6","","","","",""
"391","П-00057","Подступенок 50х16х6 серый","Поддон 120*80","156","8.85","107.88","124"
"392","З-00949","Подступенок 50х16х6 бежевый № 960","Поддон 120*80","156","8.85","121.8","140"
"393","П-00058","Подступенок 50х16х6 Белый","Поддон 120*80","156","8.85","154.86","178"
"394","П-00064","Подступенок 50х16х6 коричневый № 655","Поддон 120*80","156","8.85","121.8","140"
"395","П-00065","Подступенок 50х16х6 красн № 130","Поддон 120*80","156","8.85","121.8","140"
"396","П-00062","Подступенок 50х16х6 оливковый 420","Поддон 120*80","156","8.85","121.8","140"
"397","П-00061","Подступенок 50х16х6 терракота 503","Поддон 120*80","156","8.85","121.8","140"
"398","З-00316","Подступенок 50х16х6 черный № 330","Поддон 120*80","156","8.85","121.8","140"
"399","П-00059","Подступенок 50х16х6 Элит (1%-420, 0,3%-960)","Поддон 120*80","156","8.85","165.3","190"
"400","П-00060","Подступенок 50х16х6 Элит (2%-130)","Поддон 120*80","156","8.85","165.3","190"
"","","Светильник 30x30x6","","","","",""
"401","З-00329","_Светильник 30x30x6 серый","Поддон 120*80","72","6.5","154.86","178"
"402","З-00167","Светильник 30x30x6 бежевый № 960","Поддон 120*80","72","6.5","171.39","197"
"403","З-00143","Светильник 30x30x6 Белый","Поддон 120*80","72","6.5","237.51","273"
"404","З-00339","Светильник 30x30x6 коричневый № 655","Поддон 120*80","72","6.5","171.39","197"
"405","З-00151","Светильник 30x30x6 красн № 130","Поддон 120*80","72","6.5","171.39","197"
"406","З-00125","Светильник 30x30x6 оливковый 420","Поддон 120*80","72","6.5","171.39","197"
"407","З-00124","Светильник 30x30x6 терракота 503","Поддон 120*80","72","6.5","171.39","197"
"408","З-00394","Светильник 30x30x6 черный № 330","Поддон 120*80","72","6.5","171.39","197"
"409","З-01146","Светильник 30x30x6 элит (0,8% - 420)","Поддон 120*80","72","6.5","274.92","316"
"410","З-00352","Светильник 30x30x6 Элит (1%-420, 0,3%-960)","Поддон 120*80","72","6.5","274.92","316"
"411","З-00436","Светильник 30x30x6 элит (2% - 420)","Поддон 120*80","72","6.5","274.92","316"
"412","З-00628","Светильник 30x30x6 элит (2% - 503)","Поддон 120*80","72","6.5","274.92","316"
"413","З-00790","Крышка двухскатная 445*400 серый"," "," "," "," ","335"
"","","03. Декоративные блоки","","","","",""
"","","Декоративный блок ""Акко"" 30х30х10","","","","",""
"414","З-01122","Декоративный блок ""Акко""  30x30x10 серый","Поддон 120*80","64","11","169.65","195"
"415","З-01131","Декоративный блок ""Акко""  30x30x10 бежевый № 960","Поддон 120*80","64","11","189.66","218"
"416","З-01124","Декоративный блок ""Акко""  30x30x10 Белый","Поддон 120*80","64","11","240.12","276"
"417","З-01149","Декоративный блок ""Акко""  30x30x10 коричневый № 655","Поддон 120*80","64","11","189.66","218"
"418","З-01123","Декоративный блок ""Акко""  30x30x10 красн № 130","Поддон 120*80","64","11","189.66","218"
"419","З-01142","Декоративный блок ""Акко""  30x30x10 терракота 503","Поддон 120*80","64","11","189.66","218"
"420","З-01137","Декоративный блок ""Акко""  30x30x10 черный № 330","Поддон 120*80","64","11","189.66","218"
"421","З-01161","Декоративный блок ""Акко""  30x30x10 Элит (0.8%-420)","Поддон 120*80","64","11","251.43","289"
"422","З-01125","Декоративный блок ""Акко""  30x30x10 Элит (1%-420, 0,3%-960)","Поддон 120*80","64","11","251.43","289"
"423","З-01162","Декоративный блок ""Акко""  30x30x10 Элит (2% - 420)","Поддон 120*80","64","11","251.43","289"
"","","Декоративный блок ""Малага""  20х20х10","","","","",""
"424","Ц-00150","_Декоративный блок ""Малага"" 20х20х10 серый","Поддон 120*80","168","4","38.28","44"
"425","Ц-00157","Декоративный блок ""Малага"" 20х20х10 бежевый № 960","Поддон 120*80","168","4","46.98","54"
"426","Ц-00158","Декоративный блок ""Малага"" 20х20х10 Белый","Поддон 120*80","168","4","57.42","66"
"427","Ц-00155","Декоративный блок ""Малага"" 20х20х10 коричневый № 655","Поддон 120*80","168","4","46.98","54"
"428","Ц-00151","Декоративный блок ""Малага"" 20х20х10 красн № 130","Поддон 120*80","168","4","46.98","54"
"429","Ц-00154","Декоративный блок ""Малага"" 20х20х10 оливковый № 420","Поддон 120*80","168","4","46.98","54"
"430","Ц-00152","Декоративный блок ""Малага"" 20х20х10 терракот № 503","Поддон 120*80","168","4","46.98","54"
"431","Ц-00153","Декоративный блок ""Малага"" 20х20х10 черный № 330","Поддон 120*80","168","4","46.98","54"
"432","З-00345","Декоративный блок ""Малага"" 20х20х10 элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","168","4","62.64","72"
"433","З-01119","Декоративный блок ""Малага"" 20х20х10 Элит (0.8%-420)","Поддон 120*80","168","4","62.64","72"
"434","З-00319","Декоративный блок ""Малага"" 20х20х10 элит (1%-420, 0,3%-960)","Поддон 120*80","168","4","62.64","72"
"435","З-00433","Декоративный блок ""Малага"" 20х20х10 элит (2% - 420)","Поддон 120*80","168","4","62.64","72"
"436","З-00393","Декоративный блок ""Малага"" 20х20х10 элит (2% - 503)","Поддон 120*80","168","4","62.64","72"
"437","З-00723","Декоративный блок ""Малага"" 20х20х10 Элит (2%-130)","Поддон 120*80","168","4","62.64","72"
"438","З-00781","Декоративный блок ""Малага"" 20х20х10 Элит (2%-960)","Поддон 120*80","168","4","62.64","72"
"","","Декоративный блок ""Ромб"" 30х30х10","","","","",""
"439","Ц-00201","_Декоративный блок ""Ромб""  30x30x10 серый","Поддон 120*80","64","11","169.65","195"
"440","Ц-00207","Декоративный блок ""Ромб""  30x30x10 бежевый № 960","Поддон 120*80","64","11","189.66","218"
"441","Ц-00200","Декоративный блок ""Ромб""  30x30x10 Белый","Поддон 120*80","64","11","240.12","276"
"442","Ц-00203","Декоративный блок ""Ромб""  30x30x10 коричневый № 655","Поддон 120*80","64","11","189.66","218"
"443","Ц-00205","Декоративный блок ""Ромб""  30x30x10 красн № 130","Поддон 120*80","64","11","189.66","218"
"444","Ц-00202","Декоративный блок ""Ромб""  30x30x10 оливковый № 420","Поддон 120*80","64","11","189.66","218"
"445","Ц-00206","Декоративный блок ""Ромб""  30x30x10 терракот № 503","Поддон 120*80","64","11","189.66","218"
"446","Ц-00208","Декоративный блок ""Ромб""  30x30x10 черный № 330","Поддон 120*80","64","11","189.66","218"
"447","З-00424","Декоративный блок ""Ромб""  30x30x10 элит (1%-420, 0,3%-960)","Поддон 120*80","64","11","251.43","289"
"448","З-00422","Декоративный блок ""Ромб""  30x30x10 элит (2% - 420)","Поддон 120*80","64","11","251.43","289"
"449","З-00413","Декоративный блок ""Ромб""  30x30x10 элит (2% - 503)","Поддон 120*80","64","11","251.43","289"
"450","П-00022","Декоративный блок ""Ромб""  30x30x10 Элит (2%-130)","Поддон 120*80","64","11","251.43","289"
"451","З-00762","Декоративный блок ""Ромб""  30x30x10 Элит (2%-960)","Поддон 120*80","64","11","251.43","289"
"","","Декоративный блок ""Цветок""  30х30х10","","","","",""
"452","Ц-00160","_Декоративный блок ""Цветок""  30x30x10 серый","Поддон 120*80","64","15","169.65","195"
"453","Ц-00167","Декоративный блок ""Цветок""  30x30x10 бежевый № 960","Поддон 120*80","64","15","189.66","218"
"454","Ц-00161","Декоративный блок ""Цветок""  30x30x10 Белый","Поддон 120*80","64","15","240.12","276"
"455","Ц-00163","Декоративный блок ""Цветок""  30x30x10 коричневый № 655","Поддон 120*80","64","15","189.66","218"
"456","Ц-00165","Декоративный блок ""Цветок""  30x30x10 красн № 130","Поддон 120*80","64","15","189.66","218"
"457","Ц-00162","Декоративный блок ""Цветок""  30x30x10 оливковый № 420","Поддон 120*80","64","15","189.66","218"
"458","Ц-00166","Декоративный блок ""Цветок""  30x30x10 терракот № 503","Поддон 120*80","64","15","189.66","218"
"459","Ц-00168","Декоративный блок ""Цветок""  30x30x10 черный № 330","Поддон 120*80","64","15","189.66","218"
"460","П-00005","Декоративный блок ""Цветок""  30x30x10 Элит (0.8%-420)","Поддон 120*80","64","15","251.43","289"
"461","З-00308","Декоративный блок ""Цветок""  30x30x10 Элит (1%-420, 0,3%-960)","Поддон 120*80","64","15","251.43","289"
"462","З-00443","Декоративный блок ""Цветок""  30x30x10 элит (2% - 420)","Поддон 120*80","64","15","251.43","289"
"463","З-00160","Декоративный блок ""Цветок""  30x30x10 Элит (2% - 503)","Поддон 120*80","64","15","251.43","289"
"464","З-00780","Декоративный блок ""Цветок""  30x30x10 Элит (2%-130)","Поддон 120*80","64","15","251.43","289"
"465","З-00749","Декоративный блок ""Цветок""  30x30x10 Элит (2%-960)","Поддон 120*80","64","15","251.43","289"
"","","Дополнительный элемент ""Малага"" (1/2) 25х10,5х10","","","","",""
"466","Ц-00191","_Доп. элемент ""Малага"" (1/2) 25x10,5x10 серый","Поддон 120*80","490","1.16","26.1","30"
"467","Ц-00197","Доп. элемент ""Малага"" (1/2) 25x10,5x10 бежевый № 960","Поддон 120*80","490","1.16","33.06","38"
"468","Ц-00190","Доп. элемент ""Малага"" (1/2) 25x10,5x10 Белый","Поддон 120*80","490","1.16","38.28","44"
"469","Ц-00193","Доп. элемент ""Малага"" (1/2) 25x10,5x10 коричневый № 655","Поддон 120*80","490","1.16","33.06","38"
"470","Ц-00195","Доп. элемент ""Малага"" (1/2) 25x10,5x10 красн № 130","Поддон 120*80","490","1.16","33.06","38"
"471","Ц-00192","Доп. элемент ""Малага"" (1/2) 25x10,5x10 оливковый  № 420","Поддон 120*80","490","1.16","33.06","38"
"472","Ц-00196","Доп. элемент ""Малага"" (1/2) 25x10,5x10 терракот № 503","Поддон 120*80","490","1.16","33.06","38"
"473","Ц-00198","Доп. элемент ""Малага"" (1/2) 25x10,5x10 черный № 330","Поддон 120*80","490","1.16","33.06","38"
"474","З-00346","Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","490","1.16","40.89","47"
"475","З-01120","Доп. элемент ""Малага"" (1/2) 25x10,5x10 Элит (0.8%-420)","Поддон 120*80","490","1.16","40.89","47"
"476","З-00320","Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (1%-420, 0,3%-960)","Поддон 120*80","490","1.16","40.89","47"
"477","З-00434","Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (2% - 420)","Поддон 120*80","490","1.16","40.89","47"
"478","З-00469","Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (2% - 503)","Поддон 120*80","490","1.16","40.89","47"
"479","З-00724","Доп. элемент ""Малага"" (1/2) 25x10,5x10 Элит (2%-130)","Поддон 120*80","490","1.16","40.89","47"
"480","З-00782","Доп. элемент ""Малага"" (1/2) 25x10,5x10 Элит (2%-960)","Поддон 120*80","490","1.16","40.89","47"
"","","04. Опорный камень","","","","",""
"","","Камень ландшафтный двухсторонний","","","","",""
"481","З-00467","_Камень ландшафтный двухсторонний серый","Поддон 120*80","48","25","174.87","211"
"482","З-00011","Камень ландшафтный двухсторонний 960 бежевый № 960","Поддон 120*80","48","25","223.59","257"
"483","З-01130","Камень ландшафтный Белый","Поддон 120*80","48","25","316.68","364"
