Наименование товаров,Тара,в пал.,Вес,Цена
"Бетонный блок 39х19х12 Элит 420 (0,1%)",Поддон 120*80,96,12,"96,00"
"Бетонный блок 39х19х12 Элит 420 (0,3%)",Поддон 120*80,96,12,"96,00"
Бетонный блок 39х19х12 Элит 420 (2%),Поддон 120*80,96,12,"96,00"
Блок 39х19х19,,,,
_Бетонный блок 39x19x19 серый (базовый),Поддон 120*80,60,18,"72,00"
Бетонный блок 39x19x19 бежевый № 960,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 Белый,Поддон 120*80,60,18,"107,00"
Бетонный блок 39x19x19 коричневый № 655,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 кофе+молоко F8000,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 красн № 130,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 красн № 130 (3%),Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 оливковый № 420,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 терракота № 503,Поддон 120*80,60,18,"90,00"
Бетонный блок 39x19x19 черный № 330,Поддон 120*80,60,18,"90,00"
"Бетонный блок 39x19x19 элит ( 0,7%-960, 0,3%-420)",Поддон 120*80,60,18,"120,00"
"Бетонный блок 39x19x19 элит (1%-420, 0,3%-960)",Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 элит (2% - 420),Поддон 120*80,60,18,"120,00"
Бетонный блок 39x19x19 элит (2% - 503),Поддон 120*80,60,18,"120,00"
"Блок ""Столб"" 30х30х30",,,,
"_Бетонный блок ""Столб"" 30х30х30 серый (базовый)",Поддон 120*80,36,30,"142,00"
"Бетонный блок ""Столб"" 30х30х30 бежевый № 960",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 Белый",Поддон 120*80,36,30,"210,00"
"Бетонный блок ""Столб"" 30х30х30 коричневый № 655",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 кофе+молоко F8000",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 красн № 130",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 оливковый 420",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 терракота № 503",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 черный № 330",Поддон 120*80,36,30,"167,00"
"Бетонный блок ""Столб"" 30х30х30 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (0.8%-420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (1%-420, 0,3%-960)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (130-2%)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 элит (2% - 420)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 элит (2% - 503)",Поддон 120*80,36,30,"231,00"
"Бетонный блок ""Столб"" 30х30х30 Элит (2%-960)",Поддон 120*80,36,30,"231,00"
"Блок ""Столб"" круглый",,,,
"_Бетонный блок ""Столб"" круглый серый (базовый)",Поддон 120*80,36,27,"142,00"
"Бетонный блок ""Столб"" круглый бежевый № 960",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый Белый",Поддон 120*80,36,27,"210,00"
"Бетонный блок ""Столб"" круглый красн № 130",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый оливковый 420",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый терракота № 503",Поддон 120*80,36,27,"167,00"
"Бетонный блок ""Столб"" круглый Элит (1%-420, 0,3%-960)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый элит (2% - 420)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый элит (2% - 503)",Поддон 120*80,36,27,"231,00"
"Бетонный блок ""Столб"" круглый коричневый 655",Поддон 120*80,36,27,"167,00"
Блок колотый 39х19х12,,,,
_Бетонный блок колотый 39х19х12 серый (базовый),Поддон 120*80,96,12,"70,00"
Бетонный блок колотый 390x120x190 Rio,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 бежевый № 960,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 Белый,Поддон 120*80,96,12,"113,00"
Бетонный блок колотый 39х19х12 коричневый № 655,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 кофе+молоко F8000,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 красн № 130,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 оливковый № 420,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 Темно-серый,Поддон 120*80,96,12,"78,00"
Бетонный блок колотый 39х19х12 терракота № 503,Поддон 120*80,96,12,"82,00"
Бетонный блок колотый 39х19х12 черный № 330,Поддон 120*80,96,12,"82,00"
"Бетонный блок колотый 39х19х12 Элит (0,3%-420)",Поддон 120*80,96,12,"134,00"
"Бетонный блок колотый 39х19х12 Элит (0,5%-420)",Поддон 120*80,96,12,"134,00"
"Бетонный блок колотый 39х19х12 Элит (0,8%-420)",Поддон 120*80,96,12,"134,00"
"Бетонный блок колотый 39х19х12 Элит (1%-420, 0.3%-960)",Поддон 120*80,96,12,"134,00"
Бетонный блок колотый 39х19х12 Элит (130-2%),Поддон 120*80,96,12,"134,00"
Бетонный блок колотый 39х19х12 элит (2% - 420),Поддон 120*80,96,12,"134,00"
Бетонный блок колотый 39х19х12 элит (2% - 503),Поддон 120*80,96,12,"134,00"
Бетонный блок колотый 39х19х12 Элит (2%-960),Поддон 120*80,96,12,"134,00"
"Бетонный блок колотый 39х19х12 Элит 0,7% №960 ,0,3% №420",Поддон 120*80,96,12,"134,00"
Полублок столба колотый,,,,
_Полублок столба колотый 190х190х190мм серый (базовый),Поддон 120*80,96,11,"66,00"
Полублок столба колотый 190х190х190мм красн № 130,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм бежевый № 960,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм Белый,Поддон 120*80,96,11,"99,00"
Полублок столба колотый 190х190х190мм коричневый № 655,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм оливковый 420,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм терракота 503,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм черный № 330,Поддон 120*80,96,11,"80,00"
Полублок столба колотый 190х190х190мм элит Элит (2%-130),Поддон 120*80,96,11,"113,00"
"Полублок столба колотый 190х190х190мм элит (1%-420, 0,3%-960)",Поддон 120*80,96,11,"113,00"
Полублок столба колотый 190х190х190мм элит (2% - 420),Поддон 120*80,96,11,"113,00"
Полублок столба колотый 190х190х190мм элит (2% - 503),Поддон 120*80,96,11,"113,00"
02. МАФ,,,,
Крышка заборная 20х6х22 колотая,,,,
_Крышка заборная 20х6х22 колотая серый (базовый),Поддон 120*80,132,5.8,"113,00"
Крышка заборная 20х6х22 колотая бежевый № 960,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая Белый,Поддон 120*80,132,5.8,"157,00"
Крышка заборная 20х6х22 колотая коричневый № 655,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая кофе+молоко F8000,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая красн № 130,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая оливковый № 420,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая терракот № 503,Поддон 120*80,132,5.8,"130,00"
Крышка заборная 20х6х22 колотая черный № 330,Поддон 120*80,132,5.8,"130,00"
"Крышка заборная 20х6х22 колотая Элит (0,3%-420, 0,7%-960)",Поддон 120*80,132,5.8,"176,00"
"Крышка заборная 20х6х22 колотая Элит (0,7%-420, 0,3%-960)",Поддон 120*80,132,5.8,"176,00"
Крышка заборная 20х6х22 колотая элит (2% - 420),Поддон 120*80,132,5.8,"176,00"
Крышка заборная 40х4х15 закругл.,,,,
_Крышка заборная 40х4х15 закругл. серый (базовый),Поддон 120*80,155,5.5,"90,00"
Крышка заборная 40х4х15 закругл. бежевый № 960,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. Белый,Поддон 120*80,155,5.5,"124,00"
Крышка заборная 40х4х15 закругл. коричневый № 655,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. кофе+молоко F8000,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. красн № 130,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. оливковый № 420,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. терракот № 503,Поддон 120*80,155,5.5,"105,00"
Крышка заборная 40х4х15 закругл. черный № 330,Поддон 120*80,155,5.5,"105,00"
"Крышка заборная 40х4х15 закругл. элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,155,5.5,"143,00"
"Крышка заборная 40х4х15 закругл. Элит (1%-420, 0,3%-960)",Поддон 120*80,155,5.5,"143,00"
Крышка заборная 40х4х15 закругл. элит (2% - 420),Поддон 120*80,155,5.5,"143,00"
Крышка заборная 40х4х15 закругл. элит (2% - 503),Поддон 120*80,155,5.5,"143,00"
Крышка заборная 40х4х15 прямая,,,,
_Крышка заборная 40х4х15 прямая серый (базовый),Поддон 120*80,155,5.4,"61,00"
Крышка заборная 40х4х15 прямая бежевый № 960,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая Белый,Поддон 120*80,155,5.4,"75,00"
Крышка заборная 40х4х15 прямая коричневый № 655,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая кофе+молоко F8000,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая красн № 130,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая оливковый № 420,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая терракот № 503,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 прямая черный № 330,Поддон 120*80,155,5.4,"72,00"
Крышка заборная 40х4х15 с фаской,,,,
_Крышка заборная 40х4х15 с фаской серый (базовый),Поддон 120*80,155,5.3,"81,00"
