Наименование товаров,Тара,в пал.,Вес,Цена
Крышка столба 50х50 Белый,Поддон 120*80,10,33.8,"442,00"
Крышка столба 50х50 коричневый № 655,Поддон 120*80,10,33.8,"366,00"
Крышка столба 50х50 кофе+молоко F8000,Поддон 120*80,10,33.8,"366,00"
Крышка столба 50х50 красн № 130,Поддон 120*80,10,33.8,"366,00"
Крышка столба 50х50 оливковый № 420,Поддон 120*80,10,33.8,"366,00"
Крышка столба 50х50 терракот № 503,Поддон 120*80,10,33.8,"366,00"
Крышка столба 50х50 черный № 330,Поддон 120*80,10,33.8,"366,00"
"Крышка столба 50х50 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,10,33.8,"451,00"
"Крышка столба 50х50 элит (1%-420, 0,3%-960)",Поддон 120*80,10,33.8,"451,00"
Крышка столба 50х50 элит (2% - 420),Поддон 120*80,10,33.8,"451,00"
Крышка столба 50х50 элит (2% - 503),Поддон 120*80,10,33.8,"451,00"
Крышка фигурная 40х55х6см,,,,
_Крышка фигурная 40х55х6 серый (базовый),Поддон 120*80,32,28.2,"280,00"
Крышка фигурная 40х55х6 бежевый № 960,Поддон 120*80,32,28.2,"321,00"
Крышка фигурная 40х55х6 коричневый № 655,Поддон 120*80,32,28.2,"321,00"
Крышка фигурная 40х55х6 кофе+молоко F8000,Поддон 120*80,32,28.2,"321,00"
Крышка фигурная 40х55х6 оливковый 420,Поддон 120*80,32,28.2,"321,00"
Крышка фигурная 40х55х6 терракота 503,Поддон 120*80,32,28.2,"321,00"
Крышка фигурная 40х55х6см Белый,Поддон 120*80,32,28.2,"395,00"
"Крышка фигурная 40х55х6см элит (1%-420, 0,3%-960)",Поддон 120*80,32,28.2,"433,00"
Крышка фигурная 40х55х6см элит (2% - 420),Поддон 120*80,32,28.2,"433,00"
Крышка-ступень 50х7х30,,,,
_Крышка-ступень 50х7х30 серый (базовый),Поддон 120*80,42,23,"291,00"
Крышка-ступень 50х7х30 бежевый № 960,Поддон 120*80,42,23,"329,00"
Крышка-ступень 50х7х30 Белый,Поддон 120*80,42,23,"372,00"
Крышка-ступень 50х7х30 коричневый № 655,Поддон 120*80,42,23,"329,00"
Крышка-ступень 50х7х30 красн № 130,Поддон 120*80,42,23,"329,00"
Крышка-ступень 50х7х30 оливковый 420,Поддон 120*80,42,23,"329,00"
Крышка-ступень 50х7х30 терракота 503,Поддон 120*80,42,23,"329,00"
Крышка-ступень 50х7х30 черный № 330,Поддон 120*80,42,23,"329,00"
"Крышка-ступень 50х7х30 элит 0,3%-960",Поддон 120*80,42,23,"409,00"
"Крышка-ступень 50х7х30 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,42,23,"409,00"
Крышка-ступень колотая 50х5х30,,,,
_Крышка-ступень колотая 50х5х30 серый (базовый),Поддон 120*80,42,15.8,"244,00"
Крышка-ступень колотая 50х5х30 бежевый № 960,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 Белый,Поддон 120*80,42,15.8,"327,00"
Крышка-ступень колотая 50х5х30 коричневый № 655,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 кофе+молоко F8000,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 красн № 130,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 оливковый 420,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 терракота 503,Поддон 120*80,42,15.8,"274,00"
Крышка-ступень колотая 50х5х30 черный № 330,Поддон 120*80,42,15.8,"274,00"
"Крышка-ступень колотая 50х5х30 Элит (0,1%-960)",Поддон 120*80,42,15.8,"358,00"
"Крышка-ступень колотая 50х5х30 Элит (0,3%-960)",Поддон 120*80,42,15.8,"358,00"
"Крышка-ступень колотая 50х5х30 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,42,15.8,"358,00"
"Крышка-ступень колотая 50х5х30 элит (1%-420, 0,3%-960)",Поддон 120*80,42,15.8,"358,00"
Крышка-ступень колотая 50х5х30 элит (2% - 420),Поддон 120*80,42,15.8,"358,00"
Крышка-ступень колотая 50х7х30,,,,
_Крышка-ступень колотая 50х7х30 серый (базовый),Поддон 120*80,42,23,"288,00"
Крышка-ступень колотая 50х7х30 бежевый № 960,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 Белый,Поддон 120*80,42,23,"377,00"
Крышка-ступень колотая 50х7х30 коричневый № 655,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 кофе+молоко F8000,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 красн № 130,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 оливковый № 420,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 терракот № 503,Поддон 120*80,42,23,"333,00"
Крышка-ступень колотая 50х7х30 черный № 330,Поддон 120*80,42,23,"333,00"
"Крышка-ступень колотая 50х7х30 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,42,23,"414,00"
Крышка-ступень колотая 50х7х30 Элит 03% - 960,Поддон 120*80,42,23,"414,00"
Крышка-ступень колотая 50х7х30 Элит 2% 420,Поддон 120*80,42,23,"414,00"
Крышка-ступень колотая ЭЛИТ 50х7х30 Элит 0.1% 960,Поддон 120*80,42,23,"414,00"
"Наличник декоративный ""Цветок"" 50х15",,,,
"_Наличник декоративный ""Цветок"" 50х15 серый (базовый)",Поддон 120*80,88,4.38,"250,00"
"Наличник декоративный ""Цветок"" 50х15 бежевый № 960",Поддон 120*80,88,4.38,"288,00"
"Наличник декоративный ""Цветок"" 50х15 Белый",Поддон 120*80,88,4.38,"326,00"
"Наличник декоративный ""Цветок"" 50х15 элит (2% - 420)",Поддон 120*80,88,4.38,"375,00"
Наличник декоративный 50х8х5,,,,
_Наличник декоративный 50х8х5 серый (базовый),Поддон 120*80,88,4.38,"123,00"
Наличник декоративный 50х8х5 бежевый № 960,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 Белый,Поддон 120*80,88,4.38,"160,00"
Наличник декоративный 50х8х5 коричневый № 655,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 кофе+молоко F8000,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 красн № 130,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 оливковый № 420,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 терракот № 503,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 черный № 330,Поддон 120*80,88,4.38,"130,00"
Наличник декоративный 50х8х5 элит (2% - 420),Поддон 120*80,88,4.38,"182,00"
Основание столба 40х40,,,,
_Основание столба 40х40 серый (базовый),Поддон 120*80,36,19,"231,00"
Основание столба 40х40 бежевый № 960,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 Белый,Поддон 120*80,36,19,"324,00"
Основание столба 40х40 коричневый № 655,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 кофе+молоко F8000,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 красн № 130,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 оливковый № 420,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 терракот № 503,Поддон 120*80,36,19,"266,00"
Основание столба 40х40 черный № 330,Поддон 120*80,36,19,"266,00"
"Основание столба 40х40 Элит (0,3%-960)",Поддон 120*80,36,19,"367,00"
"Основание столба 40х40 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,36,19,"367,00"
Основание столба 40х40 Элит (0.8%-420),Поддон 120*80,36,19,"367,00"
"Основание столба 40х40 Элит (1%-420, 0,3%-960)",Поддон 120*80,36,19,"367,00"
Основание столба 40х40 Элит (130-2%),Поддон 120*80,36,19,"367,00"
Основание столба 40х40 элит (2% - 420),Поддон 120*80,36,19,"367,00"
Основание столба 40х40 Элит (2% -503),Поддон 120*80,36,19,"367,00"
Основание столба 40х40 Элит (2%-960),Поддон 120*80,36,19,"367,00"
Основание столба круглое,,,,
_Основание столба круглое серый (базовый),Поддон 120*80,36,19,"220,00"
Основание столба круглое коричневое 655,Поддон 120*80,36,19,"253,00"
Отлив 40х4х17,,,,
_Отлив 40х4х17 серый (базовый),Поддон 120*80,98,4.25,"79,00"
Отлив 40х4х17 бежевый № 960,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 Белый,Поддон 120*80,98,4.25,"125,00"
Отлив 40х4х17 коричневый № 655,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 кофе+молоко F8000,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 красн № 130,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 оливковый 420,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 терракот № 503,Поддон 120*80,98,4.25,"104,00"
Отлив 40х4х17 черный № 330,Поддон 120*80,98,4.25,"104,00"
"Отлив 40х4х17 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,98,4.25,"132,00"
"Отлив 40х4х17 элит (1%-420, 0,3%-960)",Поддон 120*80,98,4.25,"132,00"
Отлив 40х4х17 элит (2% - 420),Поддон 120*80,98,4.25,"132,00"
Отлив 40х4х17 элит (2% - 503),Поддон 120*80,98,4.25,"132,00"
Отлив 40х4х17 Элит (2%-130),Поддон 120*80,98,4.25,"132,00"
Отлив 50х7х30,,,,
_Отлив 50х7х30 серый (базовый),Поддон 120*80,,17,"158,00"
Отлив 50х7х30 бежевый № 960,Поддон 120*80,,17,"181,00"
Подступенок 50х6х16,,,,
_Подступенок 50х6х16 см серый (базовый),Поддон 120*80,156,8.85,"124,00"
Подступенок 50х6х16 см Белый,Поддон 120*80,156,8.85,"166,00"
Подступенок 50х6х16 см коричневый № 655,Поддон 120*80,156,8.85,"140,00"
Подступенок 50х6х16 см кофе+молоко F8000,Поддон 120*80,156,8.85,"140,00"
Подступенок 50х6х16 см красн № 130,Поддон 120*80,156,8.85,"140,00"
Подступенок 50х6х16 см оливковый 420,Поддон 120*80,156,8.85,"140,00"
Подступенок 50х6х16 см терракота 503,Поддон 120*80,156,8.85,"140,00"
Подступенок 50х6х16 см черный № 330,Поддон 120*80,156,8.85,"140,00"
"Подступенок 50х6х16 см элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,156,8.85,"177,00"
"Подступенок 50х6х16 см элит (1%-420, 0,3%-960)",Поддон 120*80,156,8.85,"177,00"
Светильник 30x30x6,,,,
_Светильник 30x30x6 серый (базовый),Поддон 120*80,72,6.5,"178,00"
Светильник 30x30x6 бежевый № 960,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 Белый,Поддон 120*80,72,6.5,"255,00"
Светильник 30x30x6 коричневый № 655,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 кофе+молоко F8000,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 красн № 130,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 оливковый 420,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 терракота 503,Поддон 120*80,72,6.5,"197,00"
Светильник 30x30x6 черный № 330,Поддон 120*80,72,6.5,"197,00"
"Светильник 30x30x6 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,72,6.5,"295,00"
"Светильник 30x30x6 Элит (1%-420, 0,3%-960)",Поддон 120*80,72,6.5,"295,00"
Светильник 30x30x6 элит (2% - 420),Поддон 120*80,72,6.5,"295,00"
Светильник 30x30x6 элит (2% - 503),Поддон 120*80,72,6.5,"295,00"
Крышка двухскатная 445*400 серый (базовый),,,,"335,00"
03. Декоративные блоки,,,,
"Декоративный блок ""Малага"" 20х20х10",,,,
"_Декоративный блок ""Малага"" 20х20х10 серый (базовый)",Поддон 120*80,168,4,"44,00"
"Декоративный блок ""Малага"" 20х20х10 бежевый № 960",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 Белый",Поддон 120*80,168,4,"59,00"
"Декоративный блок ""Малага"" 20х20х10 коричневый № 655",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 кофе+молоко F8000",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 красн № 130",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 оливковый № 420",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 терракот № 503",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 черный № 330",Поддон 120*80,168,4,"54,00"
"Декоративный блок ""Малага"" 20х20х10 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Малага"" 20х20х10 элит (1%-420, 0,3%-960)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Малага"" 20х20х10 элит (2% - 420)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Малага"" 20х20х10 элит (2% - 503)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Малага"" 20х20х10 Элит (2%-130)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Малага"" 20х20х10 Элит (2%-960)",Поддон 120*80,168,4,"67,00"
"Декоративный блок ""Ромб"" 30х30х10",,,,
"_Декоративный блок ""Ромб"" 30x30x10 серый (базовый)",Поддон 120*80,64,11,"195,00"
"Декоративный блок ""Ромб"" 30x30x10 бежевый № 960",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 Белый",Поддон 120*80,64,11,"258,00"
"Декоративный блок ""Ромб"" 30x30x10 коричневый № 655",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 кофе+молоко F8000",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 красн № 130",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 оливковый № 420",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 терракот № 503",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 черный № 330",Поддон 120*80,64,11,"218,00"
"Декоративный блок ""Ромб"" 30x30x10 элит (1%-420, 0,3%-960)",Поддон 120*80,64,11,"270,00"
"Декоративный блок ""Ромб"" 30x30x10 элит (2% - 420)",Поддон 120*80,64,11,"270,00"
"Декоративный блок ""Ромб"" 30x30x10 элит (2% - 503)",Поддон 120*80,64,11,"270,00"
"Декоративный блок ""Ромб"" 30x30x10 Элит (2%-130)",Поддон 120*80,64,11,"270,00"
"Декоративный блок ""Ромб"" 30x30x10 Элит (2%-960)",Поддон 120*80,64,11,"270,00"
"Декоративный блок ""Цветок"" 30х30х10",,,,
"_Декоративный блок ""Цветок"" 30x30x10 серый (базовый)",Поддон 120*80,64,15,"195,00"
"Декоративный блок ""Цветок"" 30x30x10 бежевый № 960",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 Белый",Поддон 120*80,64,15,"258,00"
"Декоративный блок ""Цветок"" 30x30x10 коричневый № 655",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 кофе+молоко F8000",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 красн № 130",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 оливковый № 420",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 терракот № 503",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 черный № 330",Поддон 120*80,64,15,"218,00"
"Декоративный блок ""Цветок"" 30x30x10 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 Элит (0.8%-420)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 Элит (1%-420, 0.3%-960)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 элит (2% - 420)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 Элит (2% -503)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 Элит (2%-130)",Поддон 120*80,64,15,"270,00"
"Декоративный блок ""Цветок"" 30x30x10 Элит (2%-960)",Поддон 120*80,64,15,"270,00"
"Дополнительный элемент ""Малага"" (1/2) 25х10,5х10",,,,
"_Доп. элемент ""Малага"" (1/2) 25x10,5x10 серый (базовый)",Поддон 120*80,490,1.16,"30,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 бежевый № 960",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 Белый",Поддон 120*80,490,1.16,"41,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 коричневый № 655",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 кофе+молоко F8000",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 красн № 130",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 оливковый № 420",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 терракот № 503",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 черный № 330",Поддон 120*80,490,1.16,"38,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,490,1.16,"44,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (1%-420, 0,3%-960)",Поддон 120*80,490,1.16,"44,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (2% - 420)",Поддон 120*80,490,1.16,"44,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 элит (2% - 503)",Поддон 120*80,490,1.16,"44,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 Элит (2%-130)",Поддон 120*80,490,1.16,"44,00"
"Доп. элемент ""Малага"" (1/2) 25x10,5x10 Элит (2%-960)",Поддон 120*80,490,1.16,"44,00"
04. Опорный камень,,,,
Камень ландшафтный двухсторонний,,,,
_Камень ландшафтный двухсторонний серый (базовый),Поддон 120*80,48,29,"211,00"
Камень ландшафтный двухсторонний 960 бежевый № 960,Поддон 120*80,48,29,"257,00"
Камень ландшафтный двухсторонний Белый,Поддон 120*80,48,29,"340,00"
Камень ландшафтный двухсторонний оливковый 420,Поддон 120*80,48,29,"257,00"
Камень ландшафтный двухсторонний Элит,Поддон 120*80,48,29,"384,00"
"Опорный камень ""Диамант""",,,,
"_Опорный камень ""Диамант"" серый (базовый)",Поддон 120*80,48,26.5,"196,00"
"Опорный камень ""Диамант"" элит 0,3%-960",Поддон 120*80,48,26.5,"349,00"
"Опорный камень ""Диамант"" элит 2% 420",Поддон 120*80,48,26.5,"349,00"
"Опорный камень ""Диамант"" оливковый № 420",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" бежевый № 960",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" Белый",Поддон 120*80,48,26.5,"340,00"
"Опорный камень ""Диамант"" коричневый № 655",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" кофе+молоко F8000",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" красный 130",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" терракота 503",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Диамант"" черный № 330",Поддон 120*80,48,26.5,"243,00"
"Опорный камень ""Прямой""",,,,
"_Опорный камень ""Прямой"" серый (базовый)",Поддон 120*80,48,26.6,"187,00"
"Опорный камень ""Прямой"" Белый",Поддон 120*80,48,26.6,"323,00"
"Опорный камень ""Прямой"" коричневый № 655",Поддон 120*80,48,26.6,"231,00"
"Опорный камень ""Прямой"" черный № 330",Поддон 120*80,48,26.6,"231,00"
"Опорный камень ""Прямой"" элит (1%-420, 0,3%-960)",Поддон 120*80,48,26.6,"332,00"
"Опорный камень ""Прямой"" бежевый № 960",Поддон 120*80,48,26.6,"231,00"
"Опорный камень ""Прямой"" кофе+молоко F8000",Поддон 120*80,48,26.6,"231,00"
"Опорный камень ""Прямой"" оливковый № 420",Поддон 120*80,48,26.6,"231,00"
"Опорный камень ""Прямой"" элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,48,26.6,"332,00"
05. Облицовочный камень,,,,
"Камень ""Кейп Стоун""",,,,
"_Камень ""Кейп Стоун"" 23*11 серый (базовый)",Поддон 120*80,,3.5,"30,00"
"Камень ""Кейп Стоун"" 23*11 960 (нерустов)",Поддон 120*80,,3.5,"35,00"
"Камень ""Кейп Стоун"" 23*11 рустованный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,3.5,"45,00"
"Камень ""Кейп Стоун"" 23*11 рустованный элит (1%-420, 0,3%-960)",Поддон 120*80,,3.5,"45,00"
"Камень ""Кейп Стоун"" 23*11 рустованный серый (базовый)",Поддон 120*80,,3.5,"30,00"
"Камень ""Кейп Стоун"" 23*11 состаренный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,3.5,"45,00"
"Камень ""Кейп Стоун"" 23*11 состаренный бежевый 960",Поддон 120*80,,3.5,"35,00"
"Камень ""Кейп Стоун"" 23*11 состаренный серый (базовый)",Поддон 120*80,,3.5,"30,00"
"Камень ""Кейп Стоун"" 23*23 рустованный коричневый № 655",Поддон 120*80,,7.69,"74,00"
"Камень ""Кейп Стоун"" 23*23 рустованный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,7.69,"94,00"
"Камень ""Кейп Стоун"" 23*23 рустованный элит (1%-420, 0,3%-960)",Поддон 120*80,,7.69,"94,00"
"Камень ""Кейп Стоун"" 23*23 рустованный серый (базовый)",Поддон 120*80,,7.69,"62,00"
"Камень ""Кейп Стоун"" 23*23 серый (базовый)",Поддон 120*80,,7.69,"62,00"
"Камень ""Кейп Стоун"" 23*23 состаренный коричневый № 655",Поддон 120*80,,7.69,"74,00"
"Камень ""Кейп Стоун"" 23*23 состаренный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,7.69,"94,00"
"Камень ""Кейп Стоун"" 23*23 состаренный серый (базовый)",Поддон 120*80,,7.69,"62,00"
"Камень ""Кейп Стоун"" 23*35 рустованный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,11,"143,00"
"Камень ""Кейп Стоун"" 23*35 рустованный элит (1%-420, 0,3%-960)",Поддон 120*80,,11,"143,00"
"Камень ""Кейп Стоун"" 23*35 рустованный коричневый 655",Поддон 120*80,,11,"109,00"
"Камень ""Кейп Стоун"" 23*35 рустованный серый (базовый)",Поддон 120*80,,11,"95,00"
"Камень ""Кейп Стоун"" 23*35 серый (базовый)",Поддон 120*80,,11,"95,00"
"Камень ""Кейп Стоун"" 23*35 состаренный элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,,11,"143,00"
"Камень ""Кейп Стоун"" 23*35 состаренный коричневый 655",Поддон 120*80,,11,"111,00"
"Камень ""Кейп Стоун"" 23*35 состаренный серый (базовый)",Поддон 120*80,,7.69,"95,00"
"Камень ""Кейп Стоун"" 23х11 Белый",Поддон 120*80,,3.5,"42,00"
"Камень ""Кейп Стоун"" 23х11 рустованный Белый",Поддон 120*80,,3.5,"42,00"
"Камень ""Кейп Стоун"" 23х23 Белый",Поддон 120*80,,7.69,"87,00"
"Камень ""Кейп Стоун"" 23х23 рустованный Белый",Поддон 120*80,,7.69,"87,00"
"Камень ""Кейп Стоун"" 23х23 состаренный Белый",Поддон 120*80,,7.69,"87,00"
"Камень ""Кейп Стоун"" 23х35 Белый",Поддон 120*80,,11,"131,00"
"Камень ""Кейп Стоун"" 23х35 рустованный Белый",Поддон 120*80,,11,"131,00"
"Камень ""Неаполь""",,,,
"_Облицовочный камень ""Неаполь"" 15х20 серый (базовый)",Поддон 120*80,,5.74,"20,00"
"_Облицовочный камень ""Неаполь"" 20х43 серый (базовый)",Поддон 120*80,,5.74,"55,00"
"Облицовочный камень ""Неаполь"" 15х20 Белый",Поддон 120*80,,1.93,"27,00"
"Облицовочный камень ""Неаполь"" 15х40 Белый",Поддон 120*80,,3.86,"53,00"
"Облицовочный камень ""Неаполь"" 15х40х3 серый (базовый)",Поддон 120*80,,3.86,"39,00"
"Облицовочный камень ""Неаполь"" 20х30 коричневый № 655",Поддон 120*80,,5.1,"47,00"
"Облицовочный камень ""Неаполь"" 20х30 оливковый 420",Поддон 120*80,,5.1,"47,00"
"Облицовочный камень ""Неаполь"" 20х43 Белый",Поддон 120*80,,5.74,"76,00"
"Облицовочный камень ""Неаполь"" 20х43 оливковый 420",Поддон 120*80,,5.74,"64,00"
"Облицовочный камень ""Неаполь""20х30 Белый",Поддон 120*80,,,"53,00"
"Камень ""Палермо""",,,,
"Облицовочный камень ""Палермо"" 15*20*3кофе+молоко F8000",Поддон 120*80,192,1.93,"25,00"
"Облицовочный камень ""Палермо"" 15х20х3 коричневый № 686",Поддон 120*80,192,1.93,"25,00"
"Облицовочный камень ""Палермо"" 15х20х3 красн № 130",Поддон 120*80,192,1.93,"25,00"
"Облицовочный камень ""Палермо"" 15х20х3 см терракота 503",Поддон 120*80,192,1.93,"25,00"
"Облицовочный камень ""Палермо"" 15х20х3см бежевый № 960",Поддон 120*80,192,1.93,"25,00"
"Облицовочный камень ""Палермо"" 15х40х3 терракота 503",Поддон 120*80,96,3.86,"50,00"
"Облицовочный камень ""Палермо"" 15х40х3см бежевый № 960",Поддон 120*80,96,3.86,"50,00"
"Облицовочный камень ""Палермо"" 20х30х3 терракота 503",Поддон 120*80,96,4.02,"50,00"
"Облицовочный камень ""Палермо"" 20х43х3 коричневый № 655",Поддон 120*80,72,4.4,"72,00"
"Облицовочный камень ""Палермо"" Белый 15 x 20 x 3 см (0.03 м.кв.)",Поддон 120*80,192,1.93,"29,00"
"Облицовочный камень ""Палермо"" Белый 15 x 40 x 3 см (0.06 м.кв.)",Поддон 120*80,96,3.86,"58,00"
"Облицовочный камень ""Палермо"" Белый 20 x 30 x 3 см (0.06 м.кв.)",Поддон 120*80,96,4.02,"58,00"
"Облицовочный камень ""Палермо"" Белый 20 x 43 x 3 см (0.08 м.кв.)",Поддон 120*80,96,4.5,"83,00"
"Облицовочный камень ""Палермо"" серый 15 x 20 x 3 см (0.03 м.кв.)",Поддон 120*80,192,1.93,"22,00"
"Облицовочный камень ""Палермо"" серый 15 x 40 x 3 см (0.06 м.кв.)",Поддон 120*80,96,3.86,"43,00"
"Облицовочный камень ""Палермо"" серый 20 x 30 x 3 см (0.06 м.кв.)",Поддон 120*80,96,4.02,"43,00"
"Облицовочный камень ""Палермо"" серый 20 x 43 x 3 см (0.08 м.кв.)",Поддон 120*80,96,4.5,"62,00"
"Облицовочный камень ""Палермо""20*30*3 кофе+молоко F8000",Поддон 120*80,96,4.02,"50,00"
Угловой элемент,,,,
_Угловой элемент 23х35х23 серый (базовый),Поддон 120*80,,,"455,00"
Угловой элемент Белый,Поддон 120*80,,,"536,00"
06. Тротуарная плитка,,,,
Бордюры,,,,
_Бордюр 50х20х6 серый (базовый),Поддон 120*80,64,12.5,"160,00"
Бордюр 50х20х6 бежевый № 960,Поддон 120*80,64,12.5,"193,00"
Бордюр 50х20х6 элит (2% - 420),Поддон 120*80,64,12.5,"244,00"
Бордюр 50х20х6 Белый,Поддон 120*80,64,12.5,"232,00"
Бордюр 50х20х6 коричневый № 655,Поддон 120*80,64,12.5,"193,00"
Бордюр 50х20х6 кофе+молоко F8000,Поддон 120*80,64,12.5,"193,00"
